Cohort,Index,Customers,Cohort Size,retention %
2011-05,21,2,56,3.57
2011-05,22,3,56,5.36
2011-05,23,7,56,12.5
2011-05,24,7,56,12.5
2011-05,25,5,56,8.93
2011-05,26,5,56,8.93
2011-05,27,4,56,7.14
2011-05,28,10,56,17.86
2011-05,29,8,56,14.29
2011-05,30,12,56,21.43
2011-05,31,14,56,25.0
2011-05,32,4,56,7.14
2011-05,33,3,56,5.36
2011-05,34,3,56,5.36
2011-05,35,5,56,8.93
2011-05,36,4,56,7.14
2011-05,37,11,56,19.64
2011-05,38,6,56,10.71
2011-05,39,7,56,12.5
2011-05,40,15,56,26.79
2011-05,41,9,56,16.07
2011-05,42,16,56,28.57
2011-05,43,10,56,17.86
2011-06,0,48,48,100.0
2011-06,1,1,48,2.08
2011-06,2,2,48,4.17
2011-06,3,4,48,8.33
2011-06,4,2,48,4.17
2011-06,5,9,48,18.75
2011-06,6,8,48,16.67
2011-06,7,1,48,2.08
2011-06,8,4,48,8.33
2011-06,9,6,48,12.5
2011-06,10,5,48,10.42
2011-06,11,5,48,10.42
2011-06,12,3,48,6.25
2011-06,13,4,48,8.33
2011-06,14,7,48,14.58
2011-06,15,5,48,10.42
2011-06,16,7,48,14.58
2011-06,17,16,48,33.33
2011-06,18,9,48,18.75
2011-06,19,3,48,6.25
2011-06,20,2,48,4.17
2011-06,21,8,48,16.67
2011-06,22,5,48,10.42
2011-06,23,4,48,8.33
2011-06,24,5,48,10.42
2011-06,25,4,48,8.33
2011-06,26,2,48,4.17
2011-06,27,11,48,22.92
2011-06,28,9,48,18.75
2011-06,29,8,48,16.67
2011-06,30,12,48,25.0
2011-06,31,6,48,12.5
2011-06,32,2,48,4.17
2011-06,33,4,48,8.33
2011-06,34,6,48,12.5
2011-06,35,9,48,18.75
2011-06,36,9,48,18.75
2011-06,37,5,48,10.42
2011-06,38,3,48,6.25
2011-06,39,13,48,27.08
2011-06,40,7,48,14.58
2011-06,41,13,48,27.08
2011-06,42,11,48,22.92
2011-07,0,44,44,100.0
2011-07,1,6,44,13.64
2011-07,2,5,44,11.36
2011-07,4,5,44,11.36
2011-07,5,8,44,18.18
2011-07,6,2,44,4.55
2011-07,8,8,44,18.18
2011-07,9,2,44,4.55
2011-07,10,7,44,15.91
2011-07,11,7,44,15.91
2011-07,12,5,44,11.36
2011-07,14,5,44,11.36
2011-07,15,4,44,9.09
2011-07,16,6,44,13.64
2011-07,17,7,44,15.91
2011-07,18,2,44,4.55
2011-07,19,2,44,4.55
2011-07,20,4,44,9.09
2011-07,21,5,44,11.36
2011-07,22,6,44,13.64
2011-07,23,5,44,11.36
2011-07,24,4,44,9.09
2011-07,25,10,44,22.73
2011-07,26,7,44,15.91
2011-07,27,6,44,13.64
2011-07,28,11,44,25.0
2011-07,29,9,44,20.45
2011-07,30,4,44,9.09
2011-07,31,7,44,15.91
2011-07,32,4,44,9.09
2011-07,33,6,44,13.64
2011-07,34,7,44,15.91
2011-07,35,8,44,18.18
2011-07,36,6,44,13.64
2011-07,37,4,44,9.09
2011-07,38,12,44,27.27
2011-07,39,10,44,22.73
2011-07,40,13,44,29.55
2011-07,41,9,44,20.45
2011-08,0,49,49,100.0
2011-08,1,8,49,16.33
2011-08,2,3,49,6.12
2011-08,3,11,49,22.45
2011-08,4,5,49,10.2
2011-08,5,3,49,6.12
2011-08,6,4,49,8.16
2011-08,7,2,49,4.08
2011-08,8,4,49,8.16
2011-08,9,3,49,6.12
2011-08,10,5,49,10.2
2011-08,11,6,49,12.24
2011-08,12,2,49,4.08
2011-08,13,9,49,18.37
2011-08,14,6,49,12.24
2011-08,15,8,49,16.33
2011-08,16,13,49,26.53
2011-08,17,2,49,4.08
2011-08,18,1,49,2.04
2011-08,19,4,49,8.16
2011-08,20,3,49,6.12
2011-08,21,7,49,14.29
2011-08,22,6,49,12.24
2011-08,23,7,49,14.29
2011-08,24,9,49,18.37
2011-08,25,15,49,30.61
2011-08,26,5,49,10.2
2011-08,27,11,49,22.45
2011-08,28,11,49,22.45
2011-08,29,2,49,4.08
2011-08,30,4,49,8.16
2011-08,31,3,49,6.12
2011-08,32,5,49,10.2
2011-08,33,9,49,18.37
2011-08,34,7,49,14.29
2011-08,35,9,49,18.37
2011-08,36,8,49,16.33
2011-08,37,9,49,18.37
2011-08,38,12,49,24.49
2011-08,39,11,49,22.45
2011-08,40,11,49,22.45
2011-09,0,68,68,100.0
2011-09,1,9,68,13.24
2011-09,2,9,68,13.24
2011-09,3,11,68,16.18
2011-09,4,1,68,1.47
2011-09,5,2,68,2.94
2011-09,6,9,68,13.24
2011-09,7,10,68,14.71
2011-09,8,9,68,13.24
2011-09,9,2,68,2.94
2011-09,10,6,68,8.82
2011-09,11,8,68,11.76
2011-09,12,12,68,17.65
2011-09,13,6,68,8.82
2011-09,14,13,68,19.12
2011-09,15,15,68,22.06
2011-09,16,2,68,2.94
2011-09,17,5,68,7.35
2011-09,18,9,68,13.24
2011-09,19,5,68,7.35
2011-09,20,9,68,13.24
2011-09,21,7,68,10.29
2011-09,22,8,68,11.76
2011-09,23,4,68,5.88
2011-09,24,12,68,17.65
2011-09,25,3,68,4.41
2011-09,26,15,68,22.06
2011-09,27,13,68,19.12
2011-09,28,3,68,4.41
2011-09,29,2,68,2.94
2011-09,30,8,68,11.76
2011-09,31,9,68,13.24
2011-09,32,9,68,13.24
2011-09,33,9,68,13.24
2011-09,34,13,68,19.12
2011-09,35,10,68,14.71
2011-09,36,15,68,22.06
2011-09,37,10,68,14.71
2011-09,38,16,68,23.53
2011-09,39,12,68,17.65
2011-10,0,42,42,100.0
2011-10,1,3,42,7.14
2011-10,2,5,42,11.9
2011-10,3,1,42,2.38
2011-10,4,3,42,7.14
2011-10,5,4,42,9.52
2011-10,6,5,42,11.9
2011-10,7,4,42,9.52
2011-10,8,3,42,7.14
2011-10,9,4,42,9.52
2011-10,10,4,42,9.52
2011-10,11,7,42,16.67
2011-10,12,4,42,9.52
2011-10,13,8,42,19.05
2011-10,14,5,42,11.9
2011-10,15,2,42,4.76
2011-10,16,3,42,7.14
2011-10,17,4,42,9.52
2011-10,18,7,42,16.67
2011-10,19,8,42,19.05
2011-10,20,6,42,14.29
2011-10,21,4,42,9.52
2011-10,22,5,42,11.9
2011-10,23,10,42,23.81
2011-10,24,6,42,14.29
2011-10,25,6,42,14.29
2011-10,26,7,42,16.67
2011-10,27,3,42,7.14
2011-10,28,4,42,9.52
2011-10,29,3,42,7.14
2011-10,30,7,42,16.67
2011-10,31,7,42,16.67
2011-10,32,10,42,23.81
2011-10,33,6,42,14.29
2011-10,34,5,42,11.9
2011-10,35,12,42,28.57
2011-10,36,7,42,16.67
2011-10,37,13,42,30.95
2011-10,38,14,42,33.33
2011-11,0,62,62,100.0
2011-11,1,15,62,24.19
2011-11,3,4,62,6.45
2011-11,4,5,62,8.06
2011-11,5,4,62,6.45
2011-11,6,2,62,3.23
2011-11,7,6,62,9.68
2011-11,8,3,62,4.84
2011-11,9,5,62,8.06
2011-11,10,11,62,17.74
2011-11,11,5,62,8.06
2011-11,12,13,62,20.97
2011-11,13,15,62,24.19
2011-11,14,2,62,3.23
2011-11,15,4,62,6.45
2011-11,16,5,62,8.06
2011-11,17,8,62,12.9
2011-11,18,3,62,4.84
2011-11,19,6,62,9.68
2011-11,20,7,62,11.29
2011-11,21,5,62,8.06
2011-11,22,16,62,25.81
2011-11,23,6,62,9.68
2011-11,24,10,62,16.13
2011-11,25,14,62,22.58
2011-11,26,4,62,6.45
2011-11,27,2,62,3.23
2011-11,28,13,62,20.97
2011-11,29,10,62,16.13
2011-11,30,14,62,22.58
2011-11,31,7,62,11.29
2011-11,32,5,62,8.06
2011-11,33,8,62,12.9
2011-11,34,15,62,24.19
2011-11,35,12,62,19.35
2011-11,36,19,62,30.65
2011-11,37,22,62,35.48
2011-12,0,49,49,100.0
2011-12,1,3,49,6.12
2011-12,2,4,49,8.16
2011-12,3,4,49,8.16
2011-12,4,2,49,4.08
2011-12,5,3,49,6.12
2011-12,6,4,49,8.16
2011-12,7,6,49,12.24
2011-12,8,5,49,10.2
2011-12,9,9,49,18.37
2011-12,10,6,49,12.24
2011-12,11,6,49,12.24
2011-12,12,9,49,18.37
2011-12,13,4,49,8.16
2011-12,14,1,49,2.04
2011-12,15,5,49,10.2
2011-12,16,6,49,12.24
2011-12,17,5,49,10.2
2011-12,18,6,49,12.24
2011-12,19,6,49,12.24
2011-12,20,7,49,14.29
2011-12,21,12,49,24.49
2011-12,22,4,49,8.16
2011-12,23,12,49,24.49
2011-12,24,12,49,24.49
2011-12,25,4,49,8.16
2011-12,26,3,49,6.12
2011-12,27,4,49,8.16
2011-12,28,5,49,10.2
2011-12,29,8,49,16.33
2011-12,30,6,49,12.24
2011-12,31,7,49,14.29
2011-12,32,8,49,16.33
2011-12,33,10,49,20.41
2011-12,34,9,49,18.37
2011-12,35,16,49,32.65
2011-12,36,15,49,30.61
2012-01,0,7,7,100.0
2012-01,2,1,7,14.29
2012-01,4,1,7,14.29
2012-01,5,1,7,14.29
2012-01,6,2,7,28.57
2012-01,9,1,7,14.29
2012-01,10,1,7,14.29
2012-01,11,1,7,14.29
2012-01,12,1,7,14.29
2012-01,15,1,7,14.29
2012-01,16,1,7,14.29
2012-01,19,1,7,14.29
2012-01,21,1,7,14.29
2012-01,22,2,7,28.57
2012-01,25,1,7,14.29
2012-01,26,2,7,28.57
2012-01,27,2,7,28.57
2012-01,28,2,7,28.57
2012-01,29,1,7,14.29
2012-01,30,1,7,14.29
2012-01,31,1,7,14.29
2012-01,33,2,7,28.57
2012-01,35,1,7,14.29
2012-02,0,7,7,100.0
2012-02,2,1,7,14.29
2012-02,5,1,7,14.29
2012-02,7,2,7,28.57
2012-02,10,1,7,14.29
2012-02,12,1,7,14.29
2012-02,17,2,7,28.57
2012-02,20,2,7,28.57
2012-02,21,1,7,14.29
2012-02,22,1,7,14.29
2012-02,23,1,7,14.29
2012-02,26,1,7,14.29
2012-02,27,4,7,57.14
2012-02,30,2,7,28.57
2012-02,31,1,7,14.29
2012-02,32,2,7,28.57
2012-02,33,2,7,28.57
2012-02,34,2,7,28.57
2012-03,0,18,18,100.0
2012-03,1,1,18,5.56
2012-03,2,1,18,5.56
2012-03,3,3,18,16.67
2012-03,4,1,18,5.56
2012-03,5,1,18,5.56
2012-03,6,3,18,16.67
2012-03,7,1,18,5.56
2012-03,8,3,18,16.67
2012-03,9,1,18,5.56
2012-03,10,1,18,5.56
2012-03,11,2,18,11.11
2012-03,12,1,18,5.56
2012-03,13,1,18,5.56
2012-03,14,3,18,16.67
2012-03,15,2,18,11.11
2012-03,17,2,18,11.11
2012-03,18,7,18,38.89
2012-03,19,3,18,16.67
2012-03,20,5,18,27.78
2012-03,21,6,18,33.33
2012-03,22,6,18,33.33
2012-03,23,1,18,5.56
2012-03,25,3,18,16.67
2012-03,26,2,18,11.11
2012-03,27,1,18,5.56
2012-03,29,3,18,16.67
2012-03,30,1,18,5.56
2012-03,31,4,18,22.22
2012-03,32,5,18,27.78
2012-03,33,4,18,22.22
2012-04,0,12,12,100.0
2012-04,3,1,12,8.33
2012-04,5,1,12,8.33
2012-04,6,3,12,25.0
2012-04,7,2,12,16.67
2012-04,10,1,12,8.33
2012-04,11,1,12,8.33
2012-04,14,1,12,8.33
2012-04,15,3,12,25.0
2012-04,17,6,12,50.0
2012-04,18,1,12,8.33
2012-04,19,2,12,16.67
2012-04,20,2,12,16.67
2012-04,21,2,12,16.67
2012-04,24,1,12,8.33
2012-04,26,2,12,16.67
2012-04,27,3,12,25.0
2012-04,28,1,12,8.33
2012-04,29,4,12,33.33
2012-04,30,4,12,33.33
2012-04,31,1,12,8.33
2012-04,32,3,12,25.0
2012-05,0,12,12,100.0
2012-05,3,1,12,8.33
2012-05,4,2,12,16.67
2012-05,6,2,12,16.67
2012-05,7,2,12,16.67
2012-05,8,1,12,8.33
2012-05,10,3,12,25.0
2012-05,11,2,12,16.67
2012-05,12,1,12,8.33
2012-05,13,2,12,16.67
2012-05,14,1,12,8.33
2012-05,15,3,12,25.0
2012-05,16,3,12,25.0
2012-05,17,1,12,8.33
2012-05,18,3,12,25.0
2012-05,19,1,12,8.33
2012-05,20,1,12,8.33
2012-05,22,3,12,25.0
2012-05,23,1,12,8.33
2012-05,25,3,12,25.0
2012-05,26,1,12,8.33
2012-05,28,6,12,50.0
2012-05,29,2,12,16.67
2012-05,30,3,12,25.0
2012-05,31,2,12,16.67
2012-06,0,12,12,100.0
2012-06,1,1,12,8.33
2012-06,2,1,12,8.33
2012-06,3,5,12,41.67
2012-06,4,1,12,8.33
2012-06,5,3,12,25.0
2012-06,6,2,12,16.67
2012-06,8,1,12,8.33
2012-06,9,3,12,25.0
2012-06,10,1,12,8.33
2012-06,12,5,12,41.67
2012-06,13,1,12,8.33
2012-06,15,2,12,16.67
2012-06,16,3,12,25.0
2012-06,17,3,12,25.0
2012-06,18,1,12,8.33
2012-06,19,2,12,16.67
2012-06,20,1,12,8.33
2012-06,21,5,12,41.67
2012-06,23,1,12,8.33
2012-06,25,2,12,16.67
2012-06,26,2,12,16.67
2012-06,27,3,12,25.0
2012-06,28,2,12,16.67
2012-06,29,4,12,33.33
2012-06,30,3,12,25.0
2012-07,0,8,8,100.0
2012-07,3,2,8,25.0
2012-07,4,3,8,37.5
2012-07,5,1,8,12.5
2012-07,7,2,8,25.0
2012-07,11,1,8,12.5
2012-07,12,1,8,12.5
2012-07,15,1,8,12.5
2012-07,16,2,8,25.0
2012-07,17,1,8,12.5
2012-07,18,1,8,12.5
2012-07,20,1,8,12.5
2012-07,21,1,8,12.5
2012-07,22,1,8,12.5
2012-07,23,1,8,12.5
2012-07,24,1,8,12.5
2012-07,25,2,8,25.0
2012-07,26,2,8,25.0
2012-07,28,2,8,25.0
2012-07,29,2,8,25.0
2012-08,0,12,12,100.0
2012-08,1,3,12,25.0
2012-08,2,1,12,8.33
2012-08,3,2,12,16.67
2012-08,4,3,12,25.0
2012-08,9,1,12,8.33
2012-08,10,2,12,16.67
2012-08,13,4,12,33.33
2012-08,14,2,12,16.67
2012-08,15,3,12,25.0
2012-08,16,3,12,25.0
2012-08,18,1,12,8.33
2012-08,19,2,12,16.67
2012-08,20,5,12,41.67
2012-08,22,2,12,16.67
2012-08,23,2,12,16.67
2012-08,24,2,12,16.67
2012-08,25,5,12,41.67
2012-08,26,2,12,16.67
2012-08,27,3,12,25.0
2012-08,28,3,12,25.0
2012-09,0,16,16,100.0
2012-09,1,1,16,6.25
2012-09,2,3,16,18.75
2012-09,3,1,16,6.25
2012-09,4,4,16,25.0
2012-09,5,1,16,6.25
2012-09,6,3,16,18.75
2012-09,7,2,16,12.5
2012-09,8,1,16,6.25
2012-09,9,1,16,6.25
2012-09,10,1,16,6.25
2012-09,11,7,16,43.75
2012-09,12,3,16,18.75
2012-09,13,1,16,6.25
2012-09,14,4,16,25.0
2012-09,15,2,16,12.5
2012-09,17,2,16,12.5
2012-09,18,4,16,25.0
2012-09,19,4,16,25.0
2012-09,20,5,16,31.25
2012-09,21,3,16,18.75
2012-09,23,4,16,25.0
2012-09,24,7,16,43.75
2012-09,25,2,16,12.5
2012-09,26,4,16,25.0
2012-09,27,4,16,25.0
2012-10,0,9,9,100.0
2012-10,2,4,9,44.44
2012-10,7,1,9,11.11
2012-10,9,1,9,11.11
2012-10,11,1,9,11.11
2012-10,13,1,9,11.11
2012-10,14,1,9,11.11
2012-10,15,2,9,22.22
2012-10,16,1,9,11.11
2012-10,17,1,9,11.11
2012-10,18,3,9,33.33
2012-10,21,2,9,22.22
2012-10,22,1,9,11.11
2012-10,23,2,9,22.22
2012-10,24,1,9,11.11
2012-10,25,1,9,11.11
2012-10,26,3,9,33.33
2012-11,0,10,10,100.0
2012-11,1,1,10,10.0
2012-11,2,1,10,10.0
2012-11,6,1,10,10.0
2012-11,7,1,10,10.0
2012-11,8,2,10,20.0
2012-11,9,1,10,10.0
2012-11,10,1,10,10.0
2012-11,11,2,10,20.0
2012-11,12,1,10,10.0
2012-11,13,2,10,20.0
2012-11,15,2,10,20.0
2012-11,16,2,10,20.0
2012-11,17,1,10,10.0
2012-11,21,2,10,20.0
2012-11,22,4,10,40.0
2012-11,24,4,10,40.0
2012-11,25,6,10,60.0
2012-12,0,13,13,100.0
2012-12,1,1,13,7.69
2012-12,3,1,13,7.69
2012-12,4,2,13,15.38
2012-12,5,2,13,15.38
2012-12,7,3,13,23.08
2012-12,8,1,13,7.69
2012-12,9,3,13,23.08
2012-12,10,2,13,15.38
2012-12,11,2,13,15.38
2012-12,12,1,13,7.69
2012-12,13,1,13,7.69
2012-12,15,3,13,23.08
2012-12,16,1,13,7.69
2012-12,17,1,13,7.69
2012-12,18,1,13,7.69
2012-12,19,2,13,15.38
2012-12,20,2,13,15.38
2012-12,21,1,13,7.69
2012-12,22,1,13,7.69
2012-12,23,3,13,23.08
2012-12,24,4,13,30.77
2013-01,0,6,6,100.0
2013-01,1,1,6,16.67
2013-01,3,1,6,16.67
2013-01,5,1,6,16.67
2013-01,6,1,6,16.67
2013-01,7,1,6,16.67
2013-01,9,1,6,16.67
2013-01,10,1,6,16.67
2013-01,11,1,6,16.67
2013-01,13,1,6,16.67
2013-01,14,2,6,33.33
2013-01,16,2,6,33.33
2013-01,18,2,6,33.33
2013-01,19,2,6,33.33
2013-01,20,2,6,33.33
2013-01,22,1,6,16.67
2013-01,23,2,6,33.33
2013-02,0,2,2,100.0
2013-02,2,1,2,50.0
2013-02,8,1,2,50.0
2013-02,9,1,2,50.0
2013-02,11,1,2,50.0
2013-02,13,1,2,50.0
2013-02,18,1,2,50.0
2013-02,19,2,2,100.0
2013-03,0,6,6,100.0
2013-03,2,3,6,50.0
2013-03,4,3,6,50.0
2013-03,6,1,6,16.67
2013-03,7,1,6,16.67
2013-03,8,1,6,16.67
2013-03,9,1,6,16.67
2013-03,10,3,6,50.0
2013-03,11,1,6,16.67
2013-03,12,1,6,16.67
2013-03,13,2,6,33.33
2013-03,14,2,6,33.33
2013-03,15,1,6,16.67
2013-03,17,1,6,16.67
2013-03,18,1,6,16.67
2013-03,19,1,6,16.67
2013-03,20,4,6,66.67
2013-03,21,2,6,33.33
2013-04,0,7,7,100.0
2013-04,1,2,7,28.57
2013-04,3,1,7,14.29
2013-04,4,1,7,14.29
2013-04,5,4,7,57.14
2013-04,7,1,7,14.29
2013-04,9,2,7,28.57
2013-04,11,1,7,14.29
2013-04,12,1,7,14.29
2013-04,15,2,7,28.57
2013-04,17,2,7,28.57
2013-04,18,1,7,14.29
2013-04,19,1,7,14.29
2013-04,20,2,7,28.57
2013-05,0,7,7,100.0
2013-05,2,1,7,14.29
2013-05,3,2,7,28.57
2013-05,4,1,7,14.29
2013-05,5,1,7,14.29
2013-05,6,2,7,28.57
2013-05,7,1,7,14.29
2013-05,8,2,7,28.57
2013-05,9,1,7,14.29
2013-05,10,2,7,28.57
2013-05,11,1,7,14.29
2013-05,12,1,7,14.29
2013-05,13,2,7,28.57
2013-05,16,2,7,28.57
2013-05,17,1,7,14.29
2013-05,18,2,7,28.57
2013-05,19,2,7,28.57
2013-06,0,8,8,100.0
2013-06,1,1,8,12.5
2013-06,2,2,8,25.0
2013-06,3,3,8,37.5
2013-06,4,1,8,12.5
2013-06,5,1,8,12.5
2013-06,6,1,8,12.5
2013-06,7,1,8,12.5
2013-06,9,2,8,25.0
2013-06,12,1,8,12.5
2013-06,13,1,8,12.5
2013-06,14,2,8,25.0
2013-06,15,3,8,37.5
2013-06,17,1,8,12.5
2013-06,18,3,8,37.5
2013-07,0,2,2,100.0
2013-07,9,1,2,50.0
2013-07,16,1,2,50.0
2013-08,0,4,4,100.0
2013-08,5,1,4,25.0
2013-08,7,1,4,25.0
2013-08,8,1,4,25.0
2013-08,9,2,4,50.0
2013-08,10,1,4,25.0
2013-08,13,1,4,25.0
2013-08,15,2,4,50.0
2013-08,16,3,4,75.0
2013-10,0,1,1,100.0
2013-10,2,1,1,100.0
2013-10,10,1,1,100.0
2013-10,11,1,1,100.0
2013-10,12,1,1,100.0
2013-10,14,1,1,100.0
2013-11,0,6,6,100.0
2013-11,2,1,6,16.67
2013-11,4,1,6,16.67
2013-11,5,1,6,16.67
2013-11,9,1,6,16.67
2013-11,11,1,6,16.67
2013-11,12,2,6,33.33
2013-11,13,3,6,50.0
2013-12,0,2,2,100.0
2013-12,10,1,2,50.0
2013-12,12,1,2,50.0
2014-03,0,3,3,100.0
2014-03,3,1,3,33.33
2014-03,4,1,3,33.33
2014-03,5,1,3,33.33
2014-03,7,1,3,33.33
2014-04,0,1,1,100.0
2014-06,0,1,1,100.0
2014-06,6,1,1,100.0
2014-07,0,2,2,100.0
2014-07,5,1,2,50.0
2014-09,0,1,1,100.0
2014-10,0,2,2,100.0
2014-11,0,1,1,100.0
